Pedigree1,Pedigree2,Person1,Person2,theoretical_kinship,empiric_kinship,fishers_zscore
11,11,7670,11280,0.25,0.18651125509278127,-2.5733889559668195
23,8,743,5226,0.0,-0.06648829333047082,-2.5686516524621377
23,17,22743,18645,0.0,-0.0664249695656394,-2.5658103418677745
19,19,26591,22375,0.125,0.059093286291099195,-2.5645628627247214
31,8,6885,5226,0.0,-0.0663299839183922,-2.5615484209849266
31,23,19770,3121,0.0,-0.06623499827114503,-2.5572865540426437
23,8,743,19099,0.0,-0.06622444431033979,-2.5568130165975287
17,5,12004,21999,0.0,-0.0661505665847031,-2.553498273091615
23,3,283,17445,0.0,-0.06612945866309261,-2.552551209497013
19,17,25222,26857,0.0,0.06612222418739011,3.363951840723301
23,23,3121,25566,0.0,-0.06601336509423496,-2.5473424071712985
29,10,18775,480,0.0,-0.06598170321181923,-2.5459218386415334
25,23,1269,743,0.0,-0.06587616360376683,-2.541186653247004
24,22,19621,384,0.0,-0.06580228587813013,-2.5378720628244147
23,3,743,17445,0.0,-0.06567563834846722,-2.5321899830956207
23,5,743,24010,0.0,-0.06551732893638859,-2.525087516910738
31,23,19770,19279,0.0,-0.06550677497558335,-2.5246140244301625
23,19,25271,720,0.0,-0.06547511309316764,-2.5231935509331542
10040,31,234,10372,0.0,-0.06547511309316764,-2.5231935509331542
23,19,19279,10272,0.0,-0.06541178932833619,-2.5203526216806664
10040,25,234,5299,0.0,-0.0653906814067257,-2.5194056505167595
29,1,5986,9218,0.0,-0.06536957348511521,-2.5184586819782098
23,17,743,11361,0.0,-0.06531680368108903,-2.5160912721121207
19,19,14432,22375,0.25,0.18775662246779976,-2.5157377337240994
23,17,9943,26856,0.0,-0.06529569575947852,-2.5151443127555333
23,3,25271,17445,0.0,-0.06528514179867329,-2.5146708340603494
23,19,743,9513,0.0,-0.06524292595545232,-2.512776925831154
23,11,19279,7670,0.0,-0.06512683238659464,-2.507568732203682
19,17,2145,12004,0.0,-0.06503184673934749,-2.5033075417067123
25,17,1269,18645,0.0,-0.0649051992096846,-2.497626036601069
23,19,22743,8344,0.0,-0.06487353732726886,-2.496205674988063
29,23,5986,25256,0.0,-0.06484187544485313,-2.494785319234604
25,23,23404,25566,0.0,-0.0648313214840479,-2.494311868618403
25,23,23404,3121,0.0,-0.06471522791519024,-2.4891039547580647
23,1,9943,9218,0.0,-0.06468356603277453,-2.4876836282587154
14,11,12511,11280,0.0,0.06461300779224056,3.296243688326606
